Price_per_m2,Area_m2,Rooms,Floor_num,Parking_num,Type_num,Municipality_score,Condition_num,Heating_num
2333.3333333333335,120.0,3.5,0,2,1,6,2,2
6808.510638297872,235.0,4.0,1,2,1,1,2,4
4595.959595959596,99.0,3.0,1,2,1,2,2,4
7189.5424836601305,153.0,4.0,0,0,1,2,2,4
3517.6470588235293,85.0,4.0,0,2,1,6,1,2
3486.842105263158,76.0,3.0,1,0,0,5,0,2
3800.0,75.0,2.0,1,0,0,2,2,0
5860.6557377049185,122.0,3.0,1,2,0,3,2,2
5860.6557377049185,122.0,3.0,1,2,0,3,2,2
2400.0,56.0,2.5,0,1,0,8,1,0
2035.4166666666667,48.0,2.5,0,1,1,10,2,1
7677.902621722847,267.0,5.0,0,1,1,1,2,4
2400.0,56.0,2.5,0,1,0,8,1,0
3000.0,26.52,0.5,0,1,1,7,2,3
3486.842105263158,76.0,3.0,1,0,0,5,0,2
7189.5424836601305,153.0,4.0,0,0,1,2,2,4
3658.5365853658536,41.0,2.0,0,0,1,4,2,2
2027.5010523361864,142.54,4.5,0,1,0,7,2,0
5111.8421052631575,152.0,4.0,1,1,1,3,2,2
5860.6557377049185,122.0,3.0,1,2,0,3,2,2
2027.5010523361864,142.54,4.5,0,1,0,7,2,0
3000.0,44.82,2.0,1,1,1,6,2,3
6808.510638297872,235.0,4.0,1,2,1,1,2,4
3517.6470588235293,85.0,4.0,0,2,1,6,1,2
7189.5424836601305,153.0,4.0,0,0,1,2,2,4
6808.510638297872,235.0,4.0,1,2,1,1,2,4
4595.959595959596,99.0,3.0,1,2,1,2,2,4
3658.5365853658536,41.0,2.0,0,0,1,4,2,2
