Area_m2,Rooms_noisy,Floor_num_noisy,Parking_num_noisy,Municipality_score,Type_str_Novogradnja,Type_str_Ostalo,Type_str_Stara gradnja,Condition_str_Izvorno stanje,Condition_str_Lux,Condition_str_Ostalo,Condition_str_Renovirano,Condition_str_Za renoviranje,Heating_str_CG,Heating_str_EG,Heating_str_Ostalo,Heating_str_Podno,Heating_str_TA,Heating_str_Toplotne pumpe,Price_per_m2
53.0,2.081864080415756,1.005385428440132,0.9768063640822876,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
72.0,2.4517559963200033,1.0469302535619098,0.012414890784913403,1,False,True,False,False,False,False,True,False,True,False,False,False,False,False,2513.8888888888887
220.0,5.032504456870797,1.0023097844170148,1.990941165219124,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
71.0,2.962342215217882,1.0129398638135263,1.005204718085198,4,True,False,False,False,True,False,False,False,False,True,False,False,False,False,3211.2676056338028
127.0,4.0040136042355625,0.019574868898461717,-0.006387347086468334,6,False,False,True,True,False,False,False,False,False,False,False,False,True,False,3425.196850393701
98.42,4.009342055868656,0.9954541064767773,0.9794465759541917,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,3800.0
76.0,2.9369708911051053,1.0127558080084063,0.04484533069621567,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1973.6842105263158
25.0,0.5939169255529118,1.00843143119231,0.026360579415976082,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
53.0,2.055026564672223,1.040115801049099,0.9640113175766453,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
33.0,1.0878997883128378,0.9545446380341458,0.036846797589791286,4,False,True,False,False,False,True,False,False,True,False,False,False,False,False,2696.969696969697
53.0,2.07896547008553,0.978096318959223,0.9987431198249513,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
25.0,0.519579995762217,1.0450411484076558,0.03945522268940914,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
220.0,5.084374847004623,1.0390263783890916,2.0299855255947317,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
223.0,4.917698500410384,-0.004434324721428705,0.9925213504469234,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,6721.52466367713
76.0,2.939196572483829,1.0120132597801537,-0.047753069167988264,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1973.6842105263158
67.0,1.9090454577821077,-0.022261881701886733,-0.023132264061505394,7,False,False,True,False,True,False,False,False,True,False,False,False,False,False,3955.223880597015
53.0,2.965066066152653,0.9688121159723762,2.0041634214660866,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
127.0,3.9777354579378965,-0.003630159506001783,0.013347821982614722,6,False,False,True,True,False,False,False,False,False,False,False,False,True,False,3425.196850393701
45.25,1.4542698063547792,0.9853352228026053,-0.024211231456679774,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2651.9337016574586
67.0,2.0657475018303857,0.008365611185087204,-0.03606439259271759,7,False,False,True,False,True,False,False,False,True,False,False,False,False,False,3955.223880597015
53.0,2.971350665338718,0.9577734636964985,2.03349302367993,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
76.0,2.956186901937476,1.0474394807666167,0.048440218070355215,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1973.6842105263158
77.0,3.00853921663165,1.0486210744479603,0.0025690182302685813,6,False,False,True,False,True,False,False,False,False,False,False,False,False,True,4740.25974025974
58.0,2.9281848449949526,1.0198161714019744,-0.03283207141516965,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3086.206896551724
25.0,0.560439396150808,1.003609636634412,-0.022769267348063105,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
127.0,3.9149101287359542,-0.019047238371367226,-0.04816093234525333,6,False,False,True,True,False,False,False,False,False,False,False,False,True,False,3425.196850393701
220.0,5.097377387320104,1.0313795019706948,2.04142988065605,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
72.0,2.5544489538593314,1.018473117255388,-0.03822489171098589,1,False,True,False,False,False,False,True,False,True,False,False,False,False,False,2513.8888888888887
45.25,1.4397431363068345,0.9662616939344891,0.007651647551425354,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2651.9337016574586
127.0,3.9011044234247203,0.04109271844938425,-0.022594477931279403,6,False,False,True,True,False,False,False,False,False,False,False,False,True,False,3425.196850393701
223.0,5.063092285690967,0.032253724292316904,1.0054178002515792,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,6721.52466367713
33.0,1.0413714687695235,1.0449799913291924,0.015142038835186417,4,False,True,False,False,False,True,False,False,True,False,False,False,False,False,2696.969696969697
53.0,2.0458014336081973,1.022571950838836,1.0329741803707202,4,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3500.0
86.0,4.05425406933719,1.011341519593579,0.9706421271760604,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3818.1744186046512
220.0,4.914808930346818,0.9918243036290619,1.951099582865848,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
98.42,3.9716931457088545,1.0432728483354012,0.9636885630068808,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,3800.0
81.0,2.923173811905026,0.03660638895004084,0.04000186418481051,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3271.604938271605
25.0,0.5726206851751188,0.9545218670106189,0.03738900775625152,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
76.0,3.0246596253655116,0.9526366974497252,0.009741310217030827,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1973.6842105263158
58.0,2.96617960497053,0.987646336687805,0.010051686043365336,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3086.206896551724
81.0,2.9127116700572047,0.031055333078183298,0.016503667454625545,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3271.604938271605
65.0,2.4621964643431324,1.0487276129314944,0.9675371278623449,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,3767.6923076923076
